UF,MUN,COD_IBGE,num_mortes_prioridade,tipo,data_da_atualizacao,escolas_municipais_fechadas,Observações,escolas_estaduais_fechadas,Observações,universidades_fechadas,Observações,comercio_nao_essencial_fechado,Observações,espacos_publicos_fechados,Observações,transporte_publico_reduzido,Observações,igrejas_fechadas,Observações,eventos_de_grande_porte_cancelados,Observações,transporte_rodoviário_intermunicipal_cancelado,Observações,entrada_restrita_a_residentes,Observações,doentes_orientados_a_ficar_em_casa,Observações,distribuicao_merenda_escolar,Observações,restricao_horario_comercio,Observações,toque_de_recolher,Observações,circulacao_apenas_com_autorizacao,Observações,antecipacao_vacinacao,Observações,desinfeccao_cidade,Observações,distribuicao_cesta_basica,Observações,campanhas_publicas_para_ficar_em_casa,Observações,obrigatoriedade_uso_mascaras_espacos_publicos,Observações,limite_pessoas_por_aglomeracao,Observações,aplicacao_de_multa,Observações,Início de testagem,Observações,observação
RJ,Maricá,3302700,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Maricá,3302700,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Maricá,3302700,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Bauru,3506003,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Bauru,3506003,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Bauru,3506003,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Cotia,3513009,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Cotia,3513009,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Cotia,3513009,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Jundiaí,3525904,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Jundiaí,3525904,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Jundiaí,3525904,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Mauá,3529401,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Mauá,3529401,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Mauá,3529401,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,São Caetano do Sul,3548807,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,São Caetano do Sul,3548807,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,São Caetano do Sul,3548807,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,São José do Rio Preto,3549805,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,São José do Rio Preto,3549805,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,São José do Rio Preto,3549805,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,Campo Mourão,4104303,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,Campo Mourão,4104303,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,Campo Mourão,4104303,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,Londrina,4113700,4,data_comeco,4/20/2020,3/23/2020,,NA,,NA,,3/22/2020,,3/22/2020,,,,3/22/2020,,3/18/2020,,NA,,NA,,3/18/2020,,3/23/2020,,4/20/2020,,NA,,NA,,3/23/2020,,4/15/2020,,3/26/2020,,3/22/2020,,4/15/2020,,3/18/2020,,NA,,,,
PR,Londrina,4113700,4,data_fim,4/20/2020,5/3/2020,,NA,,NA,,4/19/2020,,4/26/2020,,,,4/19/2020,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,5/22/2020,,NA,,NA,,NA,,NA,,NA,,NA,,,,
PR,Londrina,4113700,4,fonte,,Decreto Nº 334/2020 - http://www.londrina.pr.gov.br/images/stories/jornalOficial/Jornal-4023-Exta-Assinado-pdf.pdf e Decreto nº 458/2020 - http://www.londrina.pr.gov.br/images/stories/jornalOficial/Jornal-4041-Assinado-Pdf.pdf,,NA,,NA,,DECRETO Nº 346/2020 - http://www.londrina.pr.gov.br/images/stories/jornalOficial/Jornal-4024-Assinado-pdf.pdf e https://blog.londrina.pr.gov.br/?p=73891,,DECRETO Nº 346/2020 - http://www.londrina.pr.gov.br/images/stories/jornalOficial/Jornal-4024-Assinado-pdf.pdf e Decreto nº 487 - http://www.londrina.pr.gov.br/images/stories/jornalOficial/Jornal-4047-Assinado-Pdf.pdf,,,,DECRETO Nº 346/2020 - http://www.londrina.pr.gov.br/images/stories/jornalOficial/Jornal-4024-Assinado-pdf.pdf e https://blog.londrina.pr.gov.br/?p=73891,,Decreto Nº 334/2020 - http://www.londrina.pr.gov.br/images/stories/jornalOficial/Jornal-4023-Exta-Assinado-pdf.pdf,,NA,,NA,,Decreto Nº 334/2020 - http://www.londrina.pr.gov.br/images/stories/jornalOficial/Jornal-4023-Exta-Assinado-pdf.pdf,,https://blog.londrina.pr.gov.br/?p=71996,,Decreto nº 248/2020 - http://www.londrina.pr.gov.br/images/stories/jornalOficial/Jornal-4046-Assinado-Pdf.pdf,,NA,,NA,,https://blog.londrina.pr.gov.br/?p=72092,,https://blog.londrina.pr.gov.br/?p=73600,,https://blog.londrina.pr.gov.br/?p=72336,,DECRETO Nº 346/2020 - http://www.londrina.pr.gov.br/images/stories/jornalOficial/Jornal-4024-Assinado-pdf.pdf,,https://blog.londrina.pr.gov.br/?p=73310,,Decreto Nº 334/2020 - http://www.londrina.pr.gov.br/images/stories/jornalOficial/Jornal-4023-Exta-Assinado-pdf.pdf,,NA,,,,
SC,Criciúma,4204608,4,data_comeco,6/15/2020,3/18/2020,,3/18/2020,,3/18/2020,,3/18/2020,,3/18/2020,,3/19/2020,Transporte coletivo não está reduzido e sim suspenso. Ainda não há previsão de volta.,3/18/2020,,3/18/2020,,3/18/2020,,NA,,NA,,4/14/2020,,NA,,NA,,NA,,4/17/2020,,3/22/2020,,3/30/2020,,3/22/2020,,NA,,NA,,NA,,,,
SC,Criciúma,4204608,4,data_fim,6/15/2020,NA,Aulas remotas estão ocorrendo,NA,Aulas remotas estão ocorrendo,NA,,4/22/2020,,4/22/2020,,2020-06-08,"Volta transporte público a partir 08/06, com diversas orientações, como uso obrigatório de máscara e capacidade de 50% de lotação.  ",22/04/2020,Criciúma está seguindo as orientações governamentais. Governo de SC autorizou reabertura de igrejas e shopping no dia 22/04.,12/31/2020,,2020-06-08,Retorno transporte intermunicipal,NA,,NA,,NA,https://www.criciuma.sc.gov.br/site/noticiaUnica.php?noticia/14948#conteudo,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,
SC,Criciúma,4204608,4,fonte,6/15/2020,https://www.criciuma.sc.gov.br/pmc/webroot/upload/158514534225-03-2020ass.pdf,https://www.criciuma.sc.gov.br/site/noticiaUnica.php?noticia/14922#conteudo,http://www.engeplus.com.br/noticia/educacao/2020/calendario-de-reposicao-tera-aulas-aos-sabados-e-feriados-na-cidade-de-criciuma,,http://www.engeplus.com.br/noticia/educacao/2020/calendario-de-reposicao-tera-aulas-aos-sabados-e-feriados-na-cidade-de-criciuma,,https://www.nsctotal.com.br/noticias/coronavirus-criciuma-reabre-parques-academias-e-shoppings-missas-seguem-suspensas,,https://www.nsctotal.com.br/noticias/coronavirus-criciuma-reabre-parques-academias-e-shoppings-missas-seguem-suspensas,,http://www.engeplus.com.br/noticia/geral/2020/funcionarios-de-linhas-de-onibus-do-transporte-publico-fazem-protesto-em-criciuma; estão analisando a retomada do transporte: https://g1.globo.com/sc/santa-catarina/noticia/2020/05/14/especialistas-alertam-para-riscos-a-saude-publica-caso-haja-retorno-do-transporte-coletivo-nos-proximos-dias-em-sc.ghtml,http://covid19.criciuma.sc.gov.br/files/d715.20%20retorno%20transporte%20coletivo%20versao%20final.pdf,"https://saude.estadao.com.br/noticias/geral,governo-de-santa-catarina-libera-o-funcionamento-de-igrejas-e-estabelecimentos-comerciais,70003277973",,https://g1.globo.com/sc/santa-catarina/noticia/2020/05/12/prefeito-de-criciuma-defende-retorno-do-transporte-coletivo-e-cirurgias-eletivas.ghtml,,http://www.engeplus.com.br/noticia/geral/2020/funcionarios-de-linhas-de-onibus-do-transporte-publico-fazem-protesto-em-criciuma,http://www.engeplus.com.br/noticia/transito/2020/transporte-coletivo-retorna-na-proxima-segunda-feira-em-criciuma,NA,,NA,,http://www.engeplus.com.br/noticia/geral/2020/entrega-dos-kits-de-alimentacao-escolar-continua-em-criciuma,http://www.engeplus.com.br/noticia/geral/2020/entrega-dos-kits-de-alimentacao-escolar-continua-em-criciuma,NA,,NA,,NA,,http://www.engeplus.com.br/noticia/geral/2020/criciuma-vai-receber-mais-9-7-mil-doses-da-vacina-contra-gripe,,https://ocp.news/geral/prefeitura-de-criciuma-fara-a-desinfeccao-dos-principais-pontos-da-cidade-neste-domingo,,http://www.engeplus.com.br/noticia/geral/2020/mais-350-cestas-basicas-serao-entregues-nesta-semana-em-criciuma,,https://www.4oito.com.br/noticia/videos-carro-de-som-segue-na-rua-pedindo-para-que-criciumenses-fiquem-em-casa-26263,,NA,,NA,,NA,,,,
RO,Porto Velho,1100205,2,data_comeco,4/20/2020,,,,,,,3/23/2020,,3/23/2020,,3/23/2020,,3/18/2020,,,,3/23/2020,,,,,,,,,,,,,,,,4/18/2020,,,,3/5/2020,,,,,,,,,,
RO,Porto Velho,1100205,2,data_fim,4/20/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RO,Porto Velho,1100205,2,fonte,4/20/2020,,,,,,,https://sapl.portovelho.ro.leg.br/media/sapl/public/materialegislativa/2020/617/decreto_n_16.612_de_23.03.20_-declaracao_decalam_4Fq9oCV.pdf,,https://sapl.portovelho.ro.leg.br/media/sapl/public/materialegislativa/2020/617/decreto_n_16.612_de_23.03.20_-declaracao_decalam_4Fq9oCV.pdf,,https://sapl.portovelho.ro.leg.br/media/sapl/public/materialegislativa/2020/617/decreto_n_16.612_de_23.03.20_-declaracao_decalam_4Fq9oCV.pdf,,https://www.portovelho.ro.gov.br/artigo/27901/precaucao-pastores-evangelicos-vao-colaborar-com-acoes-da-prefeitura-no-combate-ao-coronavirus,,,,https://sapl.portovelho.ro.leg.br/media/sapl/public/materialegislativa/2020/617/decreto_n_16.612_de_23.03.20_-declaracao_decalam_4Fq9oCV.pdf,,,,,,,,,,,,,,,,https://g1.globo.com/ro/rondonia/noticia/2020/04/17/coronavirus-militares-do-am-pousam-em-ro-para-desinfeccao-do-aeroporto-de-porto-velho.ghtml,,,,https://sapl.portovelho.ro.leg.br/media/sapl/public/materialegislativa/2020/537/projeto_de_lei_no_4022-2020.pdf,,,,,,,,,,
AM,Iranduba,1301852,3,data_comeco,6/21/2020,4/17/2020,,3/17/2020,,3/17/2020,,4/17/2020,,4/1/2020,,4/4/2020,,NA,,6/2/2020,,4/4/2020,,NA,,3/2/2020,,NA,,4/4/2020,,NA,,NA,,NA,,NA,,NA,,3/21/2020,,5/4/2020,,6/2/2020,,6/2/2020,,NA,,"Atualização de 6 de junho: apesar de decretar reabertura do comércio seguindo o decreto estadual, o novo decreto (DECRETO N.º 047, DE 01 DE JUNHO DE 2020 (Código Identificador: ARLOKQIIR)) toma como nova medida o ISOLAMENTO de cada pessoa em sua própria casa, saindo apenas quando necessário para comprar insumos - uma vez por semana, apenas uma pessoa."
AM,Iranduba,1301852,3,data_fim,6/21/2020,07/02/2020,,NA,,NA,,06/01/2020,,6/1/2020,,6/4/2020,,NA,,NA,,5/4/2020,,NA,,NA,,NA,,6/4/2020,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,"Atualização de 31 de maio: Decreto que permite reabertura de comércios não-essenciais e que estima a volta das aulas ainda não está no Diário Oficial da cidade, mas acredito que sairá amanha.; 1) Cestas básicas: Não teve distribuição de cestas básicas, mas teve do Cartão do Programa de Apoio ao Cidadão, de todo o Estado do Amazonas (https://www.facebook.com/prefeituradeirandub/photos/a.647176775461556/1427267060785853/?type=3&theater)"
AM,Iranduba,1301852,3,fonte,6/21/2020,"DECRETO N.º 024, DE 17 DE ABRIL DE 2020; Código Identificador: QAUEKQME8; Matéria publicada no Diário Oficial dos Municípios do Estado do Amazonas no dia 20/04/2020 - Nº 2593.  <https://diariomunicipalaam.org.br/>; https://www.facebook.com/iranduba.iranduba.752/videos/166158938227809/UzpfSTY0NzAxMDk1MjE0NDgwNToxNDU0NDg1MzExMzk3MzYx/",Decreto da prefeitura estima que dia 02 de julho as aulas poderão retornar.,"Decreto 42.063, de 17 de março de 2020: <https://anec.org.br/wp-content/uploads/2020/03/17.03-AM.pdf>; Decreto Nº 42278 de 13/05/2020 (https://www.normasbrasil.com.br/norma/decreto-42278-2020-am_395344.html); Medida prorrogada pelo DECRETO N.° 42.330, DE 28 DE MAIO DE 2020 (http://www.amazonas.am.gov.br/content/uploads/2020/05/poder_executivo_SECAO_I_28-05-2020.pdf)",,"https://www.altillo.com/pt/universidades/brasil/estado/amazonas.asp; Decreto Nº 42278 de 13/05/2020 (https://www.normasbrasil.com.br/norma/decreto-42278-2020-am_395344.html); Medida prorrogada pelo DECRETO N.° 42.330, DE 28 DE MAIO DE 2020 (http://www.amazonas.am.gov.br/content/uploads/2020/05/poder_executivo_SECAO_I_28-05-2020.pdf)",,"DECRETO N.º 024, DE 17 DE ABRIL DE 2020; Código Identificador: QAUEKQME8; Matéria publicada no Diário Oficial dos Municípios do Estado do Amazonas no dia 20/04/2020 - Nº 2593.   <https://diariomunicipalaam.org.br/>; DECRETO N.º 026, DE 04 DE MAIO DE 2020 (Código Identificador: YAJUHMGEA); https://www.facebook.com/iranduba.iranduba.752/videos/166158938227809/UzpfSTY0NzAxMDk1MjE0NDgwNToxNDU0NDg1MzExMzk3MzYx/; Medida terminou com o DECRETO N.º 047, DE 01 DE JUNHO DE 2020 (Código Identificador: ARLOKQIIR)","Decreto flexibilixou para que alguns comércios não-essenciais pudessem reabrir a partir de 01 de junho: igrejas, restaurantes, lanchonetes, pizzarias, sorveterias, salões de beleza, óticas, confeitarias e lojas em geral.","DECRETO N.º 021, DE 01 DE ABRIL DE 2020; Código Identificador: EXVYRVK86; Matéria publicada no Diário Oficial dos Municípios do Estado do Amazonas no dia 02/04/2020 - Nº 2582; <https://diariomunicipalaam.org.br>; DECRETO N.º 026, DE 04 DE MAIO DE 2020 (Código Identificador: YAJUHMGEA); DECRETO N.º 047, DE 01 DE JUNHO DE 2020 (Código Identificador: ARLOKQIIR)","Não foi decretada a reabertura, mas considero que a medida acabou já que diversos comércios reabriram.","DECRETO Nº 022, DE 04 DE ABRIL DE 2020; Código Identificador: UE2JRKBPL; Matéria publicada no Diário Oficial dos Municípios do Estado do Amazonas no dia 07/04/2020 - Nº 2585. <https://diariomunicipalaam.org.br/>; DECRETO N.º 026, DE 04 DE MAIO DE 2020 (Código Identificador: YAJUHMGEA); Medida terminou com o DECRETO N.º 047, DE 01 DE JUNHO DE 2020 (Código Identificador: ARLOKQIIR)",,https://www.facebook.com/iranduba.iranduba.752/videos/166158938227809/UzpfSTY0NzAxMDk1MjE0NDgwNToxNDU0NDg1MzExMzk3MzYx/,"Antes eu não tinha encontrado qualquer decreto dizendo que igrejas não podiam funcionar, mas no novo decreto diz que a partir de 01 de junho, já poderão voltar a funcionar. Igrejas podem apenas funcionar com 50% de ocupação, desde que seja menos de 30 pessoas e com distancia de 2m cada.","DECRETO N.º 047, DE 01 DE JUNHO DE 2020 (Código Identificador: ARLOKQIIR)",Antes não havia sido decretado diretamente a proibição.,"DECRETO Nº 022, DE 04 DE ABRIL DE 2020; Código Identificador: UE2JRKBPL; Matéria publicada no Diário Oficial dos Municípios do Estado do Amazonas no dia 07/04/2020 - Nº 2585.; Medida terminou com o DECRETO N.º 026, DE 04 DE MAIO DE 2020 (Código Identificador: YAJUHMGEA)",,"Barreiras sanitárias. vide último campo. DECRETO N.º 020, DE 25 DE MARÇO DE 2020; Matéria publicada no Diário Oficial dos Municípios do Estado do Amazonas no dia 26/03/2020 - Nº 2577. <https://diariomunicipalaam.org.br/>",,https://www.facebook.com/semsa.saude.3/videos/842175639634113/,,NA,"Houve distribuição pelo programa estadual ""Merenda em Casa"", mas não houve ação municipal.","DECRETO Nº 022, DE 04 DE ABRIL DE 2020; Código Identificador: UE2JRKBPL; Matéria publicada no Diário Oficial dos Municípios do Estado do Amazonas no dia 07/04/2020 - Nº 2585. Antes disso, o horário da feira já havia sido reduzido (04/01/2020) sem publicação de regulamentação. <https://www.facebook.com/prefeituradeirandub/posts/1405522272960332>; https://www.facebook.com/semsa.saude.3/videos/842175639634113/; Medida acabou com o DECRETO N.º 047, DE 01 DE JUNHO DE 2020 (Código Identificador: ARLOKQIIR)",,NA,,NA,,NA,,Desinfecção no hospital. <https://www.facebook.com/semsa.saude.3/posts/857462181438792>,,NA,,https://www.facebook.com/semsa.saude.3/posts/842951442889866,"Essa campanha agora se tornou decreto. Todas as pessoas devem se isolar em casa, apenas podendo uma pessoa sair uma vez por semana para comprar insumos (DECRETO N.º 047, DE 01 DE JUNHO DE 2020 (Código Identificador: ARLOKQIIR))","DECRETO N.º 026, DE 04 DE MAIO DE 2020 (Código Identificador: YAJUHMGEA)",,"DECRETO N.º 047, DE 01 DE JUNHO DE 2020 (Código Identificador: ARLOKQIIR)",,"DECRETO N.º 047, DE 01 DE JUNHO DE 2020 (Código Identificador: ARLOKQIIR)",,NA,,Barreiras sanitárias <https://www.facebook.com/semsa.saude.3/videos/847624052422605/>
AM,Parintins,1303403,3,data_comeco,4/22/2020,,,3/17/2020,,NA,,,,,,,,,,NA,,,,,,,,,,,,3/25/2020,,,,,,,,,,,,,,,,,,,,
AM,Parintins,1303403,3,data_fim,4/22/2020,,,,,NA,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,Parintins,1303403,3,fonte,4/22/2020,,,"Decreto 42.063, de 17 de março de 2020: <https://anec.org.br/wp-content/uploads/2020/03/17.03-AM.pdf>",,https://www.altillo.com/pt/universidades/brasil/estado/amazonas.asp,,,,,,,,,,NA,,,,,,,,,,,,https://www.acritica.com/channels/coronavirus/news/toque-de-recolher-parintins-tem-noite-deserta-apos-medida-da-prefeitura; https://www.conjur.com.br/2020-abr-08/parintins-amplia-toque-recolher-18h-6h,,,,,,,,,,,,,,,,,,,,
PE,Goiana,2606200,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE,Goiana,2606200,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE,Goiana,2606200,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE,Igarassu,2606804,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE,Igarassu,2606804,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE,Igarassu,2606804,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE,Limoeiro,2608909,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE,Limoeiro,2608909,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE,Limoeiro,2608909,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE,Paudalho,2610608,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE,Paudalho,2610608,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE,Paudalho,2610608,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Lauro de Freitas,2919207,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Lauro de Freitas,2919207,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Lauro de Freitas,2919207,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG,Governador Valadares,3127701,2,data_comeco,6/19/2020,3/19/2020,,3/18/2020,,3/17/2020,,3/23/2020,,3/19/2020,,NA,,2/23/2020,,2/23/2020,,NA,,NA,,3/16/2020,,NA,,4/24/2020,,NA,,NA,,3/23/2020,,3/26/2020,,NA,,NA,,5/8/2020,,2/23/2020,,6/17/20,,,,
MG,Governador Valadares,3127701,2,data_fim,6/19/2020,NA,,NA,,NA,,4/18/2020,,NA,,NA,,4/18/2020,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,6/5/2020,,NA,,NA,,NA,,NA,,NA,,NA,,,,
MG,Governador Valadares,3127701,2,fonte,6/19/2020,https://www.valadares.mg.gov.br/detalhe-da-materia/info/prefeito-declara-situacao-de-emergencia-de-saude-publica-em-valadares/87491; https://www.valadares.mg.gov.br/detalhe-da-materia/info/covid-19-prefeito-publica-novo-decreto-sobre-funcionamento-de-comercio-e-servicos/87537,,https://www.otempo.com.br/cidades/aulas-da-rede-estadual-de-minas-estao-suspensas-ate-o-dia-22-1.2311335,,https://drd.com.br/coronavirus-univale-anuncia-suspensao-das-aulas-por-causa-de-pandemia/; https://g1.globo.com/mg/zona-da-mata/noticia/2020/03/16/por-causa-do-coronavirus-ufjf-e-ufsj-anunciam-suspensao-de-aulas-presenciais.ghtml,,http://www.valadares.mg.gov.br/abrir_arquivo.aspx/Decreto_11126_2020?cdLocal=5&arquivo={D78C4CDC-0CB1-A0DA-7EB8-BCBBAABEDE0A}.pdf; https://www.valadares.mg.gov.br/detalhe-da-materia/info/prefeito-decreta-novas-medidas-para-o-comercio-em-valadares/87578,,https://www.valadares.mg.gov.br/detalhe-da-materia/info/prefeito-declara-situacao-de-emergencia-de-saude-publica-em-valadares/87491; https://www.valadares.mg.gov.br/detalhe-da-materia/info/para-evitar-aglomeracao-espacos-publicos-sao-interditados-em-valadares/87558,,NA,,http://www.valadares.mg.gov.br/abrir_arquivo.aspx/Decreto_11127_2020?cdLocal=5&arquivo={8BB2BC81-A36C-AADC-BE1E-CEADA5480ED5}.pdf; https://www.valadares.mg.gov.br/detalhe-da-materia/info/prefeito-decreta-novas-medidas-para-o-comercio-em-valadares/87578,,http://www.valadares.mg.gov.br/abrir_arquivo.aspx/Decreto_11127_2020?cdLocal=5&arquivo={8BB2BC81-A36C-AADC-BE1E-CEADA5480ED5}.pdf,,NA,,NA,,https://www.valadares.mg.gov.br/detalhe-da-materia/info/prefeitura-de-valadares-intensifica-acoes-de-prevencao-e-combate-ao-coronavirus/87478,,NA,,https://www.valadares.mg.gov.br/detalhe-da-materia/info/novo-decreto-traz-escala-de-horarios-para-abertura-e-fechamento-do-comercio/87585; https://www.valadares.mg.gov.br/detalhe-da-materia/info/covid-19-novo-decreto-dispoe-sobre-funcionamento-de-setores/87636,,NA,,NA,,https://www.valadares.mg.gov.br/detalhe-da-materia/info/campanha-de-vacinacao-contra-influenza-h1n1-comecou-hoje-23-em-valadares/87507; https://www.valadares.mg.gov.br/detalhe-da-materia/info/campanha-nacional-de-vacinacao-entra-em-mais-uma-etapa/87627,,https://www.valadares.mg.gov.br/detalhe-da-materia/info/diversos-pontos-da-cidade-sao-higienizados-contra-o-coronavirus/87524,,NA,,NA,,https://www.valadares.mg.gov.br/detalhe-da-materia/info/decreto-torna-uso-de-mascaras-obrigatorio-nos-coletivos-filas-de-espera-e-locais-de-aglomeracao/87602; https://www.valadares.mg.gov.br/detalhe-da-materia/info/decreto-obriga-o-uso-de-mascara-facial-em-locais-publicos/87628; https://drd.com.br/novo-decreto-volta-a-restringir-o-funcionamento-do-comercio-em-valadares/,,http://www.valadares.mg.gov.br/abrir_arquivo.aspx/Decreto_11127_2020?cdLocal=5&arquivo={8BB2BC81-A36C-AADC-BE1E-CEADA5480ED5}.pdf,,https://drd.com.br/novo-decreto-volta-a-restringir-o-funcionamento-do-comercio-em-valadares/,,,,
RJ,Magé,3302502,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,4/8/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Magé,3302502,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Magé,3302502,#N/A,fonte,,,,,,,,,,,,,,,,,,,,"1) 08/04 Notícia de Duque de Caxias, https://duquedecaxias.rj.gov.br/noticia/sms/1975",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Rio das Ostras,3304524,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Rio das Ostras,3304524,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Rio das Ostras,3304524,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Tanguá,3305752,#N/A,data_comeco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Tanguá,3305752,#N/A,data_fim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ,Tanguá,3305752,#N/A,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,Americana,3501608,3,data_comeco,4/22/2020,3/23/2020,,NA,,NA,,3/19/2020,,3/19/2020,,3/19/2020,,03/16/2020,,03/16/2020,,NA,,NA,,NA,,4/14/2020,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,
SP,Americana,3501608,3,data_fim,4/22/2020,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,
